date,close,volume,open,high,low,10Avg,30Avg,10NeiAvg
2017-11-21,317.81,7256381,310.86,318.23,308.71,310,320.1566667,314.2122222
2017-11-20,308.74,8241821,313.79,315.5,304.75,312,320.1976667,313.2288889
2017-11-17,315.05,13720830,325.67,326.67,313.15,312,320.0016667,313.0722222
2017-11-16,312.5,5794409,313.99,318.14,311.3,313,319.9283333,311.6766667
2017-11-15,311.3,5951835,306.01,312.49,301.5,314,319.6606667,310.6088889
2017-11-14,308.7,5661904,315,316.35,306.9,314,319.659,309.1177778
2017-11-13,315.4,7565242,300.13,316.8,299.11,313,319.437,308.8188889
2017-11-10,302.99,4621080,302.5,308.36,301.85,313,319.5623333,307.4555556
2017-11-09,302.99,5440173,302.5,304.46,296.3,312,319.0856667,306.7433333
2017-11-08,304.39,4725355,305.5,306.89,301.3001,311,318.3453333,305.4055556
2017-11-07,306.05,5284844,301.02,306.5,300.03,309,317.4363333,306.7811111
2017-11-06,302.78,6480689,307,307.5,299.01,309,316.672,308.5733333
2017-11-03,306.09,8885933,299.5,306.25,295.13,307,315.728,310.4722222
2017-11-02,299.26,19771280,300.13,308.69,292.63,307,314.6353333,312.4588889
2017-11-01,321.08,8242487,332.25,332.6089,320.26,305,313.1623333,314.8788889
2017-10-31,331.53,5650062,320.23,331.95,320.18,307,312.602,317.0777778
2017-10-30,320.08,4247619,319.18,323.78,317.25,309,312.352,320.9177778
2017-10-27,320.87,6968365,319.75,324.59,316.66,310,311.6536667,324.3544444
2017-10-26,326.17,5010087,327.78,330.23,323.2,312,311.3856667,329.4477778
2017-10-25,325.84,8583619,336.7,337.5,323.56,315,311.7536667,332.8622222
2017-10-24,337.34,4485692,338.8,342.8,336.16,317,312.2403333,335.9866667
2017-10-23,337.02,5739598,349.88,349.95,336.25,321,313.043,339.95
2017-10-20,345.1,4925657,352.69,354.55,344.34,324,314.1536667,343.2533333
2017-10-19,351.81,5055715,355.56,357.1465,348.2,329,315.4836667,346.52
2017-10-18,359.65,4936024,355.97,363,354.13,333,316.993,349.8355556
2017-10-17,355.75,3290290,350.91,356.22,350.07,336,318.6863333,351.7533333
2017-10-16,350.6,5373090,353.76,354.48,347.16,340,320.2933333,353.8166667
2017-10-13,355.57,3538807,356.98,358.49,353.68,343,321.395,353.5766667
2017-10-12,355.68,4073552,352.95,359.78,352.64,347,322.687,354.14
2017-10-11,354.6,4494733,353.89,357.6,351.15,350,324.0246667,353.66
2017-10-10,355.59,6972263,346.8,355.63,345.5305,352,325.4246667,353.5777778
2017-10-09,342.94,7461461,349.65,351.75,342.67,354,326.684,353.3044444
2017-10-06,356.88,4272866,353.1,360.0992,352.25,354,327.824,351.7444444
2017-10-05,355.33,4167913,356,357.435,351.35,354,329.2183333,350.1244444
2017-10-04,355.01,8147995,351.25,358.62,349.6,354,330.646,348.4577778
2017-10-03,348.14,10122550,335.9,348.55,331.28,354,332.103,346.8333333
2017-10-02,341.53,5227547,342.52,343.7,335.51,353,333.4176667,347.09
2017-09-29,341.1,5099051,341.86,344.68,338.601,352,334.2886667,345.7688889
2017-09-28,339.6,5309779,339.88,342.75,335.4,350,335.559,345.2977778
2017-09-27,340.97,6027375,349.9,351.489,340.5,348,336.7793333,346.5722222
2017-09-26,345.25,7149649,350.93,351.24,340.9,347,337.9986667,349.4355556
2017-09-25,344.99,7587158,353.15,357.469,342.88,347,339.3053333,353.1655556
2017-09-22,351.09,8142895,366.49,369.8999,350.88,346,340.7123333,358.0433333
2017-09-21,366.48,4610872,374.9,376.83,364.51,345,342.2123333,362.5111111
2017-09-20,373.91,4909958,373,378.249,371.07,347,344.453,366.5855556
2017-09-19,375.1,6435208,380,382.39,373.57,349,346.214,368.9166667
2017-09-18,385,7177773,380.25,389.61,377.68,353,347.6663333,370.89
2017-09-15,379.81,5407227,374.51,380,372.7,358,349.8303333,372.29
2017-09-14,377.64,7170263,364.33,377.96,362.63,363,351.795,369.7255556
2017-09-13,366.23,4171185,363.82,368.07,359.59,367,353.5106667,367.1366667
2017-09-12,362.75,5966204,364.49,368.76,360.4,369,354.857,363.74
2017-09-11,363.69,7651000,351.35,363.71,350,371,355.704,359.8055556
2017-09-08,343.4,3261333,348.99,349.78,342.3,372,356.593,357.0933333
2017-09-07,350.61,4235045,345.98,352.48,343.45,370,356.5363333,354.6777778
2017-09-06,344.53,4082001,349.5,350.979,341.56,367,356.4963333,353.2277778
2017-09-05,349.59,3836402,353.8,355.49,345.89,364,355.9923333,351.5177778
2017-09-01,355.4,3048550,356.12,357.59,353.6902,360,355.787,349.5144444
2017-08-31,355.9,4063330,353.55,358.44,352.82,357,355.947,350.0311111
2017-08-30,353.18,3404165,349.67,353.47,347,355,355.958,350.2888889
2017-08-29,347.36,4069303,339.48,349.05,338.75,353,355.8746667,351.2044444
2017-08-28,345.66,3746240,347.28,347.35,339.72,352,355.6333333,350.2888889
2017-08-25,348.05,3475186,354.24,355.69,347.3,350,355.3023333,348.34
2017-08-24,352.93,4571574,352.52,356.66,349.74,350,355.4726667,347.4022222
2017-08-23,352.77,4941947,338.99,353.49,338.3041,350,355.341,347.2622222
2017-08-22,341.35,4314268,341.13,342.24,337.3725,351,355.2556667,348.99
2017-08-21,337.86,6489850,345.82,345.82,331.85,350,354.8003333,350.8422222
2017-08-18,347.46,5390805,352.91,354,345.8,348,354.4576667,352.5922222
2017-08-17,351.92,5010825,361.21,363.3,351.59,347,354.6553333,353.1411111
2017-08-16,362.91,3406173,363,366.5,362.52,347,355.016,353.4333333
2017-08-15,362.33,3084601,365.2,365.49,359.37,349,355.793,355.8977778
2017-08-14,363.8,4507969,364.63,367.66,362.6,351,356.505,358.9377778
2017-08-11,357.87,4357562,356.97,361.26,353.62,353,357.1233333,359.7944444
2017-08-10,355.4,7063054,361.6,366.6504,354.66,353,357.5526667,360.3488889
2017-08-09,363.53,6881182,361,370,358.95,353,357.6963333,358.5911111
2017-08-08,365.22,7431838,357.53,368.58,357.4,356,357.598,354.5422222
2017-08-07,355.17,6309331,357.35,359.48,352.75,359,357.3083333,349.6277778
2017-08-04,356.91,9233295,347,357.27,343.3,360,356.644,345.8055556
2017-08-03,347.09,13524270,345.33,350,343.15,360,355.7076667,343.5466667
2017-08-02,325.89,11942350,318.94,327.12,311.22,359,354.617,340.3166667
2017-08-01,319.57,8284997,323,324.45,316.13,355,352.892,337.9422222
2017-07-31,323.47,8525454,335.5,341.49,321.04,350,351.3366667,336.2122222
2017-07-28,335.07,4869891,336.89,339.6,332.51,346,350.0273333,334.6133333
2017-07-27,334.46,8285879,346,347.5,326.29,344,349.0733333,332.5366667
2017-07-26,343.85,4809514,340.36,345.5,338.12,340,348.7753333,332.9844444
2017-07-25,339.6,6977932,345,345.6,334.15,338,348.55,333.6166667
2017-07-24,342.52,8598292,330.24,343.399,330.01,336,348.3856667,334.1466667
2017-07-21,328.4,4871708,329.46,331.2575,325.8,335,348.15,332.4244444
2017-07-20,329.92,5142516,326.9,330.22,324.2,333,347.25,331.6822222
2017-07-19,325.26,6345884,328.23,331.65,323.2193,333,346.384,329.4111111
2017-07-18,328.24,6360710,317.5,329.13,315.66,334,345.4533333,328.2911111
2017-07-17,319.57,9827506,325.54,327.1,313.45,334,344.816,326.5911111
2017-07-14,327.78,5607924,323.19,328.42,321.22,332,343.9463333,325.2188889
2017-07-13,323.41,8582315,330.11,331.6,319.97,332,343.2706667,323.3633333
2017-07-12,329.52,10317240,330.4,333.1,324.5,329,342.2866667,321.5377778
2017-07-11,327.22,11526760,316,327.28,314.3,328,341.5116667,321.41
2017-07-10,316.05,13760290,312.9,317.94,303.13,327,341.0406667,325.0822222
2017-07-07,313.22,14129950,313.5,317,307.38,325,340.3136667,328.8411111
2017-07-06,308.83,19258040,317.26,320.7899,306.3,323,339.1723333,332.99
2017-07-05,327.09,16998300,347.2,347.24,326.33,322,337.736,337.6255556
2017-07-03,352.62,6305401,370.24,371.35,351.5,321,336.542,341.5311111
2017-06-30,361.61,5823046,363.71,366.7674,359.6187,325,336.2183333,348.3577778
2017-06-29,360.75,8202463,370.61,371,354.1,329,336.1453333,356.1611111
2017-06-28,371.24,6290323,366.68,371.74,362.52,333,336.2413333,364.3588889
2017-06-27,362.37,6977494,376.4,376.4,362.02,338,336.7693333,369.8377778
2017-06-26,377.49,6596854,386.69,386.95,373.1,342,336.7306667,372.0177778
2017-06-23,383.45,6425180,382.45,386.99,379.345,348,337.1396667,372.9277778
2017-06-22,382.61,7510406,377.99,385,373.57,356,338.0823333,374.1111111
